P/N #,Product Discreption,Product Group Code,Product Price
0788904210,TRNSFMR 303 P/S 220V 50HZ,B-TRF,$186.47
0792242010,TYRAP ID TY546M,M-WRE,$0.10
0792260020,STRAIN RELIEF,M-HDW,$1.37
0792280515,CBL D9F/D9M 6FT,C-170,$14.28
0792420170,WR 18G WHT/RED NYL,M-WRE,$0.09
0792681400,CBL 4COND 18G,M-WRE,$2.45
0792682170,WR SHLD 2/PR 22AWG,B-TRF,$0.31
086402A33,33X O/F #1B B HARN,B-TRF,$19.28
089250D412-00,412 HC (DC),C-170,$73.69
089251C412-00,412 HC FT PNL (DC),C-170,$16.39
089330D33X-00,33X PDA #2 W/O 206 PS,B-TRF,$246.61
089478D332-00,332 PED PB HARN (SC'09),B-TRF,$42.64
100-1020-502,"ASSY, CABLE, POWER, TS2-1 ASC3 RM",C-ASC,$18.19
1008889-001,CHASSIS MODIFIED,CCI,$0.00
10-3203-008,ITS EXPRESS 8040 KIT,T-RAD,"$1,197.91"
10-3203-009,ITS EXPRESS 80 SERIES POWER,T-RAD,$0.01
103381-2-42,2- BAY CABINET,CCI,$0.00
103442-54,"TAPED ANGLE 54.25""",CCI,$0.00
104495-02,MULTIFLEX MTG FRAME,CCI,$0.00
1046-001,"FLASHER, 10AMP, 120VAC, 1 POLE",B-TS1,$96.14
104638-001-23,CABINET ASSY,CCI,$0.00
1047-032,"SURGE PROTECTION, DITEK,",B-TRF,$85.99
1047-033,"SURGE PROTECTOR, EDCO HCO",B-TRF,$21.80
104788-10,SINGLE BAY CABINET ASSY,CCI,$0.00
104788-500,GROUND BAR ASSY W/ CABLES,CCI,$0.00
105-1012-001,"HSG, PED, LED, POLY, BLACK",D-PSA,$50.14
105-1012-002,"HSG, PED, LED, POLY, YELLOW",D-PSA,$50.14
105-1012-003,"HSG, PED, LED, POLY, OLIVE GRN",D-PSA,$50.14
105-1013-001,"DOOR, PED, LED, POLY, BLACK",D-PSA,$16.46
106006-01,CUSTOM CISCO SEISMIC DATA ENCLSURE,CCI,$0.00
106516-101-45U,"SPACER FRAME W/ FIBER SPOOL 78""VPO",CCI,$0.00
106545,SEISMIC CABINET,CCI,$0.00
106577,SINGLE BAY CABINET ASSY,CCI,$0.00
106578-00,"SIDE PANEL,SOLID LIFT-OFF 78.25"", 36""",CCI,$0.00
106581-00,"ENCLOSURE, RACKBILT",CCI,$0.00
106582-00,"ENCLOSURE, RACKBILT",CCI,$0.00
106593-00,"SINGLE BAY CABINET ASSY, 89.25""X 19"" X 22""w, 25.5""D",CCI,$0.00
106595-00,SINGLE BAY CABINET ASSY,CCI,$0.00
106596-00,SINGLE BAY CABINET ASSY,CCI,$0.00
106600-00,"SINGLE BAY CABINET ASSY 84"" X 23"" X 36""",CCI,$0.00
1079-020,"LED, LIGHT BULB, AMBIENT,  12.5 WATT (60 WATT), A19,   SOFT-WHITE",B-TS1,$22.00
1079-025,"025 LED, INDICATOR LIGHT",B-TRF,$3.71
1084-022,"POWER SUPPLY, 24 VDC,30W,  120/230 VAC",A-VAR,$42.94
1084-025,"POWER SUPPLY, 24/12,  (216EP-2412)",B-TRF,$386.95
1085-005,"XFR,POWER,230/1A PRIM.9/.111A SEC.,BV301,TH",C-270,$1.69
1086-003,"RELAY, 240 VAC, 10 AMP,SPST_NO",B-TS1,$28.83
1086-004,"RELAY, 240 VAC, 40 AMP,SPST_NO",B-TS1,$36.84
1086-019,"RELAY,VOLTAGE SENSING,15A,  120/240VAC, 2 POLE,RAIL DIN",B-TS1,$0.00
1086-020,"RELAY, SOLID STATE, 48-660 VAC",B-TS1,$54.45
1086493,SHELF ANGLE,CCI,$0.00
108888TF52-2,"PANEL, AUXILIARY INTERFACE",CCI,$0.00
1092-035,"CONN, CABLE, DSUB, 9P,  CONN, CABLE, DSUB, 9P,",B-TS1,$1.81
1092-036,"CONN, 8 POS, PLUG, RJ45, MODULAR",A-SMS,$0.63
1093-025,"CONN, PANEL, 15 POS, FEMALE,",C-COB,$1.38
1093-026,"CONN, PANEL, 25 POS, FEMALE,",C-COB,$1.40
1093-027,"NS 35/15 CAP-  CONN, PNL DIN RAIL: End cap-",B-TRF,$0.35
1093-028,"CONN, PNL, DIN RAIL: End clamp  E/NS 35 N-",B-TRF,$1.00
1093-029,"CONN, PNL DIN RAIL: End clamp-  CLIPFIX 35-5",B-TRF,$0.69
1093-030,"CONN PNL DIN RAIL:Four cond  universal ground term block,  UT-4- QUATTRO-PE",B-TRF,$4.52
1093-031,"CONN, PNL DIN RAIL: Four-cond  universal terminal block -  UT 4-QUATTRO -",B-TRF,$1.60
1093-032,"CONN, PNL DIN RAIL: End cover  D-UT 2,5/4-QUATTRO -",B-TRF,$0.39
1093-033,CONN PNL DIN RAIL:Fuse modular  terminal block-UK 6-FSI/C,B-TRF,$6.99
1093-034,"CONN, PNL DIN RAIL: Thermal  device circuit brkr-TCP 0,5A",B-TRF,$11.41
1093-035,"CONN, PNL DIN RAIL: Thermal   device circuit brkr-TCP 0,25A",B-TRF,$11.41
1093-036,"CONN PNL DIN RAIL:   Thermomagnetic device circuit  breaker-TMC 1M1 100 10,0A-",B-TRF,$52.46
1093-037,CONN PNL DIN RAIL:Type 3 surge  protection device-PT 2-PE/S-,B-TRF,$117.47
1093-038,"CONN, PNL DIN RAIL: Plug-in  bridge - FBS 2-6 -",B-TRF,$0.39
1093-040,CONN PNL DIN RAIL Fixed bridge  FBI 10-8 -,B-TRF,$7.95
1093-041,"CONN, PNL DIN RAIL: Term strip",B-TRF,$1.54
1093-042,"CONN, PNL DIN RAIL: Marker for  terminal blocks -UC-TM 8-",B-TRF,$4.24
1093-043,"CONN, PNL DIN RAIL: Marker for  terminal blocks - UC-TM 6-",B-TRF,$5.34
1093-044,"CONN, PNL DIN RAIL: Marker for",B-TRF,$3.85
1093-046,"CONN PNL,37 POS,FEMALE,D-SUB",C-ASC,$4.91
109420TF55-1001,REU DRAWER ASSEMBLY,CCI,$0.00
109420TF56-1001,IIM DRAWER,CCI,$0.00
109446-1,"BRACKET, ANTENNA MOUNTING",CCI,$0.00
109470-2,COVER ACCESS FIXTURE,CCI,$0.00
1095-032,"CONN,HOUSING,3 POS & GND  3A,FEMALE,HEAVY DUTY",A-VAR,$6.65
1095-037,CO MLX 4R 8AWG,B-TRF,$0.50
1095-040,PIN F GOLD 8AWG,B-TRF,$0.58
1095-042,"RECPT ASSY,10 POS.,",C-COB,$0.57
1095-043,"CONN,HSG,12 POS, .156 CL,  CRIMP STYLE",M-HDW,$0.19
1095-044,"CONN,HSG,2 POS, 2.54 CL,  CRIMP TERM",M-HDW,$0.08
109510TF51-1001,ARINC600 DRAWER ASSEMBLY,CCI,$0.00
109510TF51-1003,ARINC600 DRAWER ASSEMBLY,CCI,$0.00
109510TF51-1005,ARINC600 DRAWER ASSEMBLY,CCI,$0.00
1098-019,"BACKSHELL,LOCKING,3A CONNECTOR",A-VAR,$5.61
1098-031,"STRAIN RELIEF, PG11, CORD GRIP",A-VAR,$0.65
1098-036,"COVER, BATTERY TERMINAL, BLACK",B-TRF,$2.21
1098-037,"CONNECTOR, RECEPTACLE, 3POS",B-TRF,$4.82
1098-039,"STRAIN RELIEF, 40 POS, .1X .1,  RIBBON CABLE CONN.",C-ASC,$0.16
1099-005,"CONN,RBN CBL,16 POS,  .079X.079,FEM",C-COB,$2.68
1099-006,"CONN,RBN CBL,40 POS.,  .100X.100,FEM",C-ASC,$1.36
109910TF55-1,"PANEL, RESOLVER INTERFACE",CCI,$0.00
110160TF53-1,"PANEL, FRONT",CCI,$0.00
1108-030,"CONTACT, MALE, 8-10 AWG",B-TRF,$2.18
1108-031,"CONTACT,FEMALE SOCKET,",M-HDW,$0.04
1108-032,"CONTACT,SOCKET, 22-30AWG,  TIN CRIMP",M-HDW,$0.11
1111-033,"CIRCUIT BREAKER, 30A, DIN RAIL",R-RTM,$20.73
1112-004,"FUSE, 2A, 250V, QUICK BLO,",B-TS1,$4.25
1113-005,"FUSEHOLDER, TERMINAL RAIL",B-TS1,$7.70
1116-005,"HEATER, 1500 WATTS, 120V,  11""X9.5""X4.5""",B-TS1,$55.76
1124-033,"SWITCH,ROCKER,SPDT ON-ON,  5A/120VAC",M-HDW,$3.26
1124-034,"SWITCH,ROCKER,SPST ON-OFF,",M-HDW,$0.46
1133-098,"MODEM, AIRLINK, RAVEN X, 3G WIRELESS DATA PLATFORM",R-RTM,$588.60
1133-141,"MODULE, MMU2-16LEip-E,  W/ETHERNET PORT",B-VAR,$692.15
1133-149,C PHASE GREEN INTERFACE,B-TRF,$87.20
1133-159,"MODULE, ML530 ETHERNET SWITCH",B-TRF,"$2,016.50"
1133-160,"RACK MOUNT KIT 19"", ML50/600",B-TRF,$212.55
1133-161,"ALL IN ONE WIRELESS-N,POCKET ROUTER,USB ETHERNET ADAPTER",C-ASC,$38.14
1133-164,MARS RT PRO UPS-1500,B-TRF,$837.12
1133-168,CBLS FOR MS RT PRO 1500 TO BYPASS SWITCH,B-TRF,$150.42
1133-174,"SMART MONITOR, MMU2-16LEIP",B-VAR,$735.75
1133-176,"ASSY,BEACON LIGHT, RED,120VAC,",B-TS1,$152.96
1133-177,"MODULE, CMU-212 AUX DISPLAY",B-TRF,$245.25
1133-180,"SWITCH, ETHERNET,20 PORT, W/POWER SUPPLY",B-TS1,"$1,802.86"
1134-004,"FIRMWARE,WAPITI,W4IKS,  FOR 170-HC11",T-VAR,$599.50
1140-002,"CABLE TIE, MTG, #10, NYLON,  BLACK",B-TS1,$1.60
1141-009,"ASSY, CABLE, RJ12 TO RJ12 CONN  REVERSED, FLAT, BLACK, 7 FT",A-VAR,$1.42
1141-024,"CABLE ASSY,FLAT,6"",RJ45 to RJ4 CAT6,WHT",C-COB,$2.73
1143-009,"PWR STRIP, 8 OUTLET, AP7900",B-RWE,$543.60
1143-010,"PWR STRIP, 12 OUTLET, RACK MOUNT - W/SURGE SUPPRESSOR",B-TRF,$116.90
1147-016,"TERMINAL,CRIMP,BLADE,17-13AWG, PIDG,INSUL,BLUE, NYLON (POLYAMIDE)",B-TS1,$0.45
1147-017,"TERMINAL,CRIMP,BLADE,22-16AWG,",B-TS1,$0.01
1148-039,"TERMINAL BLOCK, FEED THRU, END  PLATE, SAK 6/35",B-TS1,$0.61
1148-040,"MARKER, TERMINAL BLOCK, FEED  THRU, 1-50",B-TS1,$1.70
1148-041,"MARKER, TERMINAL BLOCK, FEED  THRU, 51-100",B-TS1,$1.70
1148-047,"T/B, 2 POS, 600V, COMP TYPE,",B-TS1,$13.36
1148-074,"TERMINAL BLOCK, NEMA, WHITE,",B-TS1,$1.26
1148-076,"TERM BLK,4 POS, DBL ROW, 600V, 10-32 SCREWS",B-TS1,$5.45
1149-008,"END CLAMP, TERMINAL BLOCK,",B-TS1,$1.61
1170-006,"CABLE,PLANAR RIBBON,#28 AWG,",C-COB,$0.13
1170-007,"CABLE,FLAT,16 CONDUCTOR,  28 AWG, 1mm PITCH",C-COB,$0.95
117892-350-AD-RF-103,9 RU LEXAN & EXT. FRAME,CCI,$0.00
1180-005,"4-WAY CENTER HUB,ASSY",D-TSA,$261.60
119-1003-503,"ASSY, MODULE, 2070-2E,NYSDOT",C-270,$207.00
1207-003,"HINGE, F6, 3 IN., STEEL",M-HDW,$8.12
1208-045,"DIN RAIL, SLOTTED, TS 35X15MM,",R-RTM,$12.75
1208-051,"DIN RAIL, 35 X 7.5MM,  PREPUNCHED, GALVANIZED, STEEL",B-TS1,$30.85
1208-052,"PADLOCK, STANDARD, 3-PIN,",B-TS1,$3.27
1253-001,"SCREW,SKT HD CAP,M3X8,SST",M-HDW,$0.35
126-0903-007,"ASSY, CD, MANUAL, CENTRACS",P-CEN,$0.01
1280-003,"WASHER, FLAT, M3, 18-8 SST 3.2mm ID, 9mm OD, 0.8mm THK",11,$0.02
1281-005,"WASHER, LOCK, M3, INT. TOOTH",A-VAR,$0.02
1326-006,"GROMMET, RUBBER, 2.5INCH ID",B-TRF,$1.80
1339-004,"TAPE, 1/4 IN, COPPER FOIL  W/CONDUCTIVE ADHESIVE",C-COB,$18.54
1357-007,"SLIDER LOCKOUT,C SERIES,4POLES  2 PER SECTION,BLK,TEXTURED",B-TRF,$28.61
1357-009,"PLASTIC COVER,OUTLET BOX  WEATHERPROOF WHILE-IN-USE CVR",B-TRF,$16.49
1370385-100,"NAME PALTE, FORMICA W/ SILKSCREEN",CCI,$0.00
1376-004,"GPS, 19x HVS, SURFACE MOUNT",B-TS1,$219.96
140-1009-002,"CONDUCTIVE COATED PANEL, LEFT SIDE,COBALT",C-COB,$19.49
140-1010-002,"CONDUCTIVE COATED PANEL, RIGHT SIDE,COBALT",C-COB,$19.55
140-1011-002,"BEZEL, FRONT PANEL,PAINTED  COBALT",C-COB,$22.68
140-1019-002,"COVER,BEZEL, KEYPAD,PAINTED,",C-COB,$10.74
140-1032-001,"PANEL,FRONT,FSK BOARD,COBALT",C-COB,$31.90
140-1039-501,"ASSY,DATA KEY,COBALT",C-COB,$22.22
140-1040-501,"KIT, ROUTER & CABLE",C-COB,$49.79
141-0000-501,"ASSY, RACK MOUNT, COBALT",C-CRM,"$1,422.69"
14100013,SINGLE BAY CAB 70X19X30,CCI,$0.00
14100014,"SINGLE BAY CAB,42X16X30",CCI,$0.00
141-1000-002,"PANEL, BASE, CHASSIS,",N/A,$0.00
141-1001-001,"PANEL, TOP, RACK MOUNT, COBALT",C-COB,$27.79
141-1004-001,"PANEL, I/O, RACK MOUNT, COBALT",N/A,$0.00
141-1005-501,"ASSY, RIBBON CABLE, FIO, ASSY, RIBBON CABLE, FIO,",C-CRM,$7.87
141-1006-501,"ASSY, TRACK MOUNTING 22""",B-TS1,$8.60
141-1007-501,"ASSY, PCB, SYSTEM HOST,   COBALT RACK MOUNT",C-CRM,$390.29
141-1008-501,"ASSY, RIBBON CABLE, DB25, RACK MOUNT, COBALT",C-CRM,$4.67
141-1009-001,"PANEL, BLANK, 1.58 X 6.97, RACK MOUNT, COBALT",C-CRM,$4.06
141-1010-501,"ASSY, PCB, ENGINE HOST,",C-CRM,$309.56
141-1012-501,"ASSY, CABLE POWER, RACK MOUNT,",C-CRM,$20.70
141-1012-502,"ASSY, CABLE POWER, RACK MOUNT, COBALT",C-CRM,$20.70
141-1014-501,"ASSY,FRONT PANEL,RM COBALT",C-CRM,$166.33
141-1015-501,"ASSY, CABLE, TOGGLE SWITCH, RACK MOUNT COBALT",C-CRM,$6.20
1432-004,"ARROW, LED, 12"", RED, CLEAR,",T-VAR,$32.70
1432-005,"ARROW, LED, 12"",YEL, CLEAR,",T-VAR,$32.70
1432-006,"ARROW, LED, 12"", GRN, CLEAR,",t-var,$42.51
1437-001,"U-TURN ARROW,12"",RED,TINTED,",D-TSA,$60.06
1437-002,"U-TURN ARROW,12"",YELLOW,",D-TSA,$85.95
1437-003,"U-TURN ARROW,12"",GREEN,",D-TSA,$85.95
160-1013-501,"ASSY,BIU FRONT PANEL W/PANEL LOCK CANADA",B-TS1,$16.81
170-1001-001 PART 20,FAN PANEL,B-TS1,$0.00
170-1007-001 part 5,CABINET WRAP,N/A,$0.00
170-1015-501-2,"ASSY, M49 CABINET, RIGHT SIDE, BASE MOUNT, UL LIST CONTINUOUS WELD",B-TS1,$427.27
170-1015-501-2-3,"ASSY, M49 CABINET, RIGHT SIDE, BASE MOUNT, UL LIST,CONT. WELD PAINT OUTSIDE",B-TS1,$476.35
170-1015-505-2,"ASSY,M60 CABINET,RIGHT SIDE, BASE MOUNT,UL LIST CONTINUOUS WELD",B-TS1,$662.06
170-1023-502-2,"CABINET,ASSY,UL LIST,TYPE 3R,",B-TS1,"$1,029.54"
170-1031-501-2-6,"CABINET, ASSY, MSF60, CONT.WELD, SAN FRANCISCO,PAINT OUTSIDE,INSIDE DIFF. COLOR",B-TS1,$297.88
170-1032-501-2,"ASSY, M52 CABINET, BASE/POLE MOUNT, CONT. WELD, NASHVILLE",B-TS1,$887.35
171-1081-515,M-PNL 16 POS TS2 TYPE 1 W/ T/B,B-TS1,"$1,318.16"
171-1082-501,"ASSY, MAIN PANEL, 8 POS",B-TS1,"$1,266.27"
171-1083-520,"ASSY,CABLE,DET TEST P2-TB (M), M49, M60, G36",B-TS1,$43.17
171-1085-501,ASSY DET/PUSH MOMENTARY SW,B-TS1,$66.61
171-1109-001,"BRACKET, POWER AUX PANEL,TS2",B-TS1,$0.00
171-1122-506,"ASSY, M/P, 16 POS IN-LINE, TS1 W/18 CHANNEL CMU",B-T21,"$1,509.17"
171-1122-512,ASSY M/P 16 IN LINE TS2-T1 W/ TERM. BLK BRACKET,B-TS1,"$1,457.91"
171-1122-513,"ASSY, M/P 16 IN LINE, FLORIDA DOT SPEC, W/ FIELD SURRESTOR, PED ISO",B-TS1,"$1,247.03"
171-1141-003,"BRACKET, HUB, SDLC, SF D9",B-TS1,$0.00
171-1142-503,"ASSY, CABLE, SDLC BUSS TO 15M DSUB, 7 FT",B-TS1,$29.68
171-1155-503,"ASSY, HUB, SDLC, SF D9 Z",B-TS1,$52.75
171-1163-502,"ASSY, DET/POSITIVE PUSH SWITCH PLATE-J2 FEMALE",B-TS1,$106.26
171-1163-513,"ASSY, DET/TOG SWITCH, PED DET TEST AC ACTIVE, TORONTO, CANADA",B-TS1,$69.81
171-1183-501,"ASSY, PANEL, TB, MTG, VIDEO CAM POWER, ANAHEIM",B-TS1,$30.14
171-1186-501,"FAN/LAMP/THERM ASSY DBL FAN ""P"" & ""R"", SILKSCREEN, ANAHEIM",B-TS1,$176.96
171-1213-522,"ASSY, POWER AUX PANEL, TS1 PNG W/XFMR, ANAHEIM W/SILKSCREEN,",B-TS1,$335.18
171-1238-506,"ASSY,TERM & FACILITIES,W/COVER 16 POS, TS2-2, MODE 2, SLTS,",B-TS1,"$1,449.24"
171-1248-502,"ASSY, MAIN PANEL, 16 POS HORIZ 3 BIU, TS2-T1 SPEC",B-TS1,"$1,002.19"
171-1261-501,"ASSY,PANEL,LOOP INTERFACE,LI1, WITH 2 POS/LOOP,PPB FIELD CONN",B-TS1,$37.43
171-1288-501,"ASSY,BRKT,DIN RAIL,EIA MT  UNHINGED",B-TRF,$14.51
171-1342-503,"ASSY, PANEL, LOOP INTERFACE, 12 LOOPS,8 VEH CALL,120VAC",B-TS1,$141.90
171-1356-502,"ASSY, PLATE, HEATER ELEMENT, W/LOUVER",B-TS1,$89.63
171-1360-018,"BRACKET, DOOR CATCH, DOOR,",B-TS1,$0.00
171-1360-023,"DOOR, FRONT, RIGHT HAND, M60,",B-TS1,$0.00
171-1365-001,"PLATE, GPS 16X, MOUNTING, ALUM",B-TS1,$1.62
171-1420-502,"ASSY,GENERATOR, PANEL, EMERGENCY,VOLT SENSING RELAY-DELAY",B-TS1,$173.96
171-1420-503,"ASSY,GENERATOR, PANEL,LOW ASSY,GENERATOR, PANEL,LOW SENSING RELAY-DELAY",B-TS1,$179.57
171-1423-504,"ASSY, PANEL,MTG,PHOTO SENSOR SPEC,TOWN OF GILBERT",B-TS1,$0.00
171-1423-505,"ASSY,PANEL,MTG,W/O PHOTO SENSR",B-TS1,$276.90
171-1423-506,"ASSY,PANEL,MTG,W/O PHOTO SENSR TEMPE AZ SPEC",B-TS1,$247.82
171-1443-501,"ASSY,PANEL,OPTICAL,PREEMPT  ISOLATION,OSCEOLA,FL",B-TS1,$167.52
171-1453-003,"REAR LIP,P38,STANDARD SHELF",B-TS1,$6.33
171-1473-001,"FILTER TROUGH, 33X",B-TS1,$4.02
171-1485-014,"DOOR, FRONT",B-TS1,$0.00
171-1486-015,"DOOR, RIGHT HAND SIDE",B-T21,$0.00
171-1486-020,"BRACKET,POLICE DOOR, LOCK SUPP",B-T21,$0.00
171-1486-023,"ENCLOSURE, POLICE BOX",B-T21,$0.00
171-1488-001,"STRUT, RAIL, 48.75 LG, SST",B-T21,$0.00
171-1490-026,"DOOR HANDLE, CABINET, MSF60, SAN FRANCISCO",B-TS1,$10.20
171-1491-501,"ASSY,FAN PANEL, MSF60, SAN FRAN 2014",B-TS1,$53.00
171-1493-501,"ASSY, GPS 19X_HVS, SAN FRANCISCO 2014",B-TS1,$169.98
171-1495-501,"ASSY, SERVICE/POWER, SAN FRANCISCO 2014",B-TS1,$354.07
171-1497-501,"ASSY, POLICE / AUX, SAN FRANCISCO 2014",B-TS1,$51.48
171-1498-501,"ASSY, M-PNL, LOAD BAY, SAN FRANCISCO 2014",B-TS1,$775.51
171-1499-501,"ASSY, W/4 RESISTORS,",B-TS1,$13.13
171-1500-001,"MAIN PANEL, LOAD BAY,",B-TS1,$40.79
171-1500-002,"BRACKET, BIU MTG",B-TS1,$2.98
171-1502-001,"PANEL, GPS, 19X_HVS, SAN FRANCISCO, 2014",B-TS1,$0.00
171-1503-001,"PANEL, LOOP INTERFACE,",B-TS1,$19.78
171-1504-001,"PANEL, SERVICE POWER, SAN FRAN. 2014",B-TS1,$18.84
171-1508-501,"ASSY,DOOR,CABINET,P44,44X26X16",B-TS1,$356.07
171-1512-501,"ASSY,CABLE,LOOPS1-8,DET. RACK, SAN FRANCISCO 2014",B-TS1,$32.19
171-1512-502,"ASSY,CABLE,LOOPS9-16,DET. RACK SAN FRANCISCO 2014",B-TS1,$18.25
171-1512-503,"ASSY, CABLE, PRE-EMPT OUT, DET. RACK, SAN FRANCISCO 2014",B-TS1,$9.58
171-1515-501,"ASSY,DOOR,CABINET,P44,65 INCH",B-TS1,$178.84
171-1516-501,"ASSY, PANEL, FAN, DUAL, LED, ,NASHVILLE",B-TS1,$212.70
171-1516-502,"ASSY, PANEL, FAN, DUAL, LED,",B-TS1,$174.15
171-1517-002,"PANEL,FAN DUAL,ALABAMA",B-TS1,$49.25
171-1526-001,"PANEL, POWER, SACRAMENTO",B-TS1,$44.29
171-1536-501,"ASSY,MAIN PANEL,HORIZONTAL TS2-1,2 BIU,SACRAMENTO",B-T21,$927.31
171-1544-502,"ASSY, PANEL, FAN, DUAL, FLOURESENT, M49/M60",B-TS1,$128.06
174-1021-501,"ASSY, PANEL, POWER/AUX, ACP340",B-HYB,$176.29
174-1021-504,"ASSY, PANEL, POWER AUX, SHA1250, 332 HYBRID",B-HYB,$251.19
182204-2,"CHASSIS, CONTROL PANEL",CCI,$0.00
1ERESD42H19W24DAT10,"ENCL, RACKBILT 24 RU BLACK,19"" X 42"" X 24"" DEEP W/ MARK",CCI,$0.00
200745,"18-8 STAINLESS STEEL THICK FLT WASHER NO. 2 SCREW SIZE, 3/16"" OD, .023""-.034"" THICK",A-VAR,$0.11
200998,"BUNDER SHRINK WRAP, 16/4 DUAL",A-VAR,$2.47
201004,18-8 SS FULLY THREADED HEX,M-HDW,$0.29
201131,"SCREW, FLH, PH, 4-40X.38, SST",A-VAR,$0.05
205-1005-505,"ASSY, ACIP4 STACKED PANEL, ETHERNET, 110 VOLTS WITH POWER CORD",A-VAR,$419.93
